year,rank,title,artist
1992,31,Come and Talk to Me,Jodeci
1992,32,Smells Like Teen Spirit,Nirvana
1992,33,Humpin' Around,Bobby Brown
1992,34,Damn I Wish I Was Your Lover,Sophie B. Hawkins
1992,35,Tell Me What You Want Me to Do,Tevin Campbell
1992,36,Ain't 2 Proud 2 Beg,TLC
1992,37,It's So Hard to Say Goodbye to Yesterday,Boyz II Men
1992,38,Move This,TechnotronicfeaturingYa Kid K
1992,39,Bohemian Rhapsody,Queen
1992,40,Tennessee,Arrested Development
1992,41,The Best Things in Life Are Free,Luther VandrossandJanet Jackson
1992,42,Make It Happen,Mariah Carey
1992,43,The One,Elton John
1992,44,Set Adrift on Memory Bliss,P.M. Dawn
1992,45,Stay,Shakespears Sister
1992,46,2 Legit 2 Quit,Hammer
1992,47,Please Don't Go,KWS
1992,48,Breakin' My Heart (Pretty Brown Eyes),Mint Condition
1992,49,Wishing on a Star,The Cover Girls
1992,50,She's Playing Hard to Get,Hi-Five
1992,51,I'd Die Without You,P.M. Dawn
1992,52,Good for Me,Amy Grant
1992,53,All I Want,Toad the Wet Sprocket
1992,54,When a Man Loves a Woman,Michael Bolton
1992,55,I Can't Dance,Genesis
1992,56,Hazard,Richard Marx
1992,57,Mysterious Ways,U2
1992,58,Too Funky,George Michael
1992,59,How Do You Talk to an Angel,The Heights
1992,60,One,U2
1992,61,Keep on Walkin',CeCe Peniston
1992,62,Hold on My Heart,Genesis
1992,63,The Way I Feel About You,Karyn White
1992,64,Beauty and the Beast,Celine DionandPeabo Bryson
1992,65,Warm It Up,Kris Kross
1992,66,In the Closet,Michael Jackson
1992,67,People Everyday,Arrested Development
1992,68,No Son of Mine,Genesis
1992,69,Wildside,Marky Mark and the Funky Bunch
1992,70,Do I Have to Say the Words?,Bryan Adams
1992,71,Friday I'm in Love,The Cure
1992,72,Everything About You,Ugly Kid Joe
1992,73,Blowing Kisses in the Wind,Paula Abdul
1992,74,Thought I'd Died and Gone to Heaven,Bryan Adams
1992,75,Rhythm Is a Dancer,Snap!
1992,76,Addams Groove,Hammer
1992,77,Missing You Now,Michael Bolton
1992,78,Back to the Hotel,N2Deep
1992,79,Everything Changes,Kathy Troccoli
1992,80,Have You Ever Needed Someone So Bad,Def Leppard
1992,81,Take This Heart,Richard Marx
1992,82,When I Look Into Your Eyes,FireHouse
1992,83,I Wanna Love You,Jade
1992,84,Uhh Ahh,Boyz II Men
1992,85,Real Love,Mary J. Blige
1992,86,Justified and Ancient,The KLF
1992,87,Slow Motion,Color Me Badd
1992,88,What About Your Friends,TLC
1992,89,Thinkin' Back,Color Me Badd
1992,90,Would I Lie to You?,Charles & Eddie
1992,91,That's What Love Is For,Amy Grant
1992,92,Keep Coming Back,Richard Marx
1992,93,Free Your Mind,En Vogue
1992,94,Keep It Comin',Keith Sweat
1992,95,Just Take My Heart,Mr. Big
1992,96,I Will Remember You,Amy Grant
1992,97,We Got a Love Thang,CeCe Peniston
1992,98,Let's Get Rocked,Def Leppard
1992,99,They Want EFX,Das EFX
1992,100,I Can't Make You Love Me,Bonnie Raitt
1993,1,I Will Always Love You,Whitney Houston
1993,2,Whoomp! (There It Is),Tag Team
1993,3,Can't Help Falling in Love,UB40
1993,4,That's the Way Love Goes,Janet Jackson
1993,5,Freak Me,Silk
1993,6,Weak,SWV
1993,7,If I Ever Fall in Love,Shai
1993,8,Dreamlover,Mariah Carey
1993,9,Rump Shaker,Wreckx-n-Effect
1993,10,Informer,Snow
1993,11,Nuthin' but a 'G' Thang,Dr. Dre
1993,12,In the Still of the Nite,Boyz II Men
1993,13,Don't Walk Away,Jade
1993,14,Knockin' da Boots,H-Town
1993,15,Lately,Jodeci
1993,16,Dazzey Duks,Duice
1993,17,Show Me Love,Robin S.
1993,18,A Whole New World,Peabo BrysonandRegina Belle
1993,19,If,Janet Jackson
1993,20,I'm So Into You,SWV
1993,21,Love Is,Vanessa WilliamsandBrian McKnight
1993,22,Runaway Train,Soul Asylum
1993,23,I'll Never Get Over You (Getting Over Me),Exposé
1993,24,Ditty,Paperboy
1993,25,Rhythm Is a Dancer,Snap!
1993,26,The River of Dreams,Billy Joel
1993,27,I'm Gonna Be (500 Miles),The Proclaimers
1993,28,Two Princes,Spin Doctors
1993,29,"Right Here (Human Nature)"" / ""Downtown",SWV
1993,30,I Have Nothing,Whitney Houston
1993,31,Mr. Wendal,Arrested Development
1993,32,Have I Told You Lately,Rod Stewart
1993,33,Saving Forever for You,Shanice
1993,34,Ordinary World,Duran Duran
1993,35,If I Had No Loot,Tony! Toni! Toné!
1993,36,I'd Do Anything for Love (But I Won't Do That),Meat Loaf
1993,37,Slam,Onyx
1993,38,Looking Through Patient Eyes,P.M. Dawn
1993,39,I'm Every Woman,Whitney Houston
1993,40,Baby I'm Yours,Shai
1993,41,Come Undone,Duran Duran
1993,42,I Don't Wanna Fight,Tina Turner
1993,43,I'd Die Without You,P.M. Dawn
1993,44,"Whoot, There It Is",95 South
1993,45,Hip Hop Hooray,Naughty by Nature
1993,46,Another Sad Love Song,Toni Braxton
1993,47,Will You Be There,Michael Jackson
1993,48,Comforter,Shai
1993,49,Good Enough,Bobby Brown
1993,50,What's Up?,4 Non Blondes
1993,51,All That She Wants,Ace of Base
1993,52,7,PrinceandThe New Power Generation
1993,53,Dre Day,Dr. Dre
1993,54,One Last Cry,Brian McKnight
1993,55,Just Kickin' It,Xscape
1993,56,I Get Around,2Pac
1993,57,Bed of Roses,Bon Jovi
1993,58,Real Love,Mary J. Blige
1993,59,Here We Go Again!,Portrait
1993,60,Cryin',Aerosmith
1993,61,Cat's in the Cradle,Ugly Kid Joe
1993,62,What About Your Friends,TLC
1993,63,I Got a Man,Positive K
1993,64,Hey Mr. D.J.,Zhané
1993,65,Insane in the Brain,Cypress Hill
1993,66,Deeper and Deeper,Madonna
1993,68,The Right Kind of Love,Jeremy Jordan
1993,69,Bad Boys,Inner Circle
1993,70,That's What Love Can Do,Boy Krazy
1993,71,Do You Believe in Us,Jon Secada
1993,73,Forever in Love,Kenny G
1993,74,Again,Janet Jackson
1993,75,Boom! Shake the Room,DJ Jazzy Jeff & The Fresh Prince
1993,76,When She Cries,Restless Heart
1993,77,Sweat (A La La La La Long),Inner Circle
1993,78,It Was a Good Day,Ice Cube
1993,79,More and More,Captain Hollywood Project
1993,80,How Do You Talk to an Angel,The Heights
1993,81,Rebirth of Slick (Cool Like Dat),Digable Planets
1993,82,What Is Love,Haddaway
1993,83,To Love Somebody,Michael Bolton
1993,84,"Give It Up, Turn It Loose",En Vogue
1993,85,Alright,Kris KrossfeaturingSuper Cat
1993,86,Check Yo Self,Ice CubefeaturingDas EFX
1993,87,Fields of Gold,Sting
1993,88,Ooh Child,Dino
1993,89,Faithful,Go West
1993,90,Reason to Believe,Rod Stewart
1993,91,Break It Down Again,Tears for Fears
1993,92,Nothin' My Love Can't Fix,Joey Lawrence
1993,93,Three Little Pigs,Green Jellÿ
1993,94,Livin' on the Edge,Aerosmith
1993,95,Hey Jealousy,Gin Blossoms
1993,96,If I Ever Lose My Faith in You,Sting
1993,97,Anniversary,Tony! Toni! Toné!
1993,98,One Woman,Jade
1993,99,Can't Get Enough of Your Love,Taylor Dayne
1993,100,Two Steps Behind,Def Leppard
1994,1,The Sign,Ace of Base
1994,2,I Swear,All-4-One
1994,3,I'll Make Love to You,Boyz II Men
1994,4,The Power of Love,Celine Dion
1994,5,Hero,Mariah Carey
1994,6,Stay (I Missed You),Lisa Loeb and Nine Stories
1994,7,Breathe Again,Toni Braxton
1994,8,All for Love,"Bryan Adams,Rod StewartandSting"
1994,9,All That She Wants,Ace of Base
1994,11,Bump n' Grind,R. Kelly
1994,12,Again,Janet Jackson
1994,13,I'll Remember,Madonna
1994,14,Whatta Man,Salt-n-PepafeaturingEn Vogue
1994,15,Wild Night,John MellencampwithMeshell Ndegeocello
1994,16,"Without You"" / ""Never Forget You",Mariah Carey
1994,17,You Mean the World to Me,Toni Braxton
1994,18,Can You Feel the Love Tonight,Elton John
1994,19,The Most Beautiful Girl in the World,Prince
1994,20,Fantastic Voyage,Coolio
1994,21,"Baby, I Love Your Way",Big Mountain
1994,22,Regulate,Warren GandNate Dogg
1994,23,If You Go,Jon Secada
1994,24,Back & Forth,Aaliyah
1994,25,Now and Forever,Richard Marx
1994,26,When Can I See You,Babyface
1994,27,Please Forgive Me,Bryan Adams
1994,28,So Much in Love,All-4-One
1994,29,Shoop,Salt-n-Pepa
1994,30,"Any Time, Any Place"" / ""And On and On",Janet Jackson
1994,31,Shine,Collective Soul
1994,32,Said I Loved You...But I Lied,Michael Bolton
1994,33,Return to Innocence,Enigma
1994,34,All I Wanna Do,Sheryl Crow
1994,35,Mmm Mmm Mmm Mmm,Crash Test Dummies
1994,36,Can We Talk,Tevin Campbell
1994,37,Funkdafied,Da Brat
1994,38,I'd Do Anything for Love (But I Won't Do That),Meat Loaf
1994,39,Gangsta Lean,DRS
1994,40,Because the Night,"10,000 Maniacs"
1994,41,Cantaloop (Flip Fantasia),Us3
1994,42,Whoomp! (There It Is),Tag Team
1994,43,Come to My Window,Melissa Etheridge
1994,44,Stroke You Up,Changing Faces
1994,45,I'm Ready,Tevin Campbell
1994,46,100% Pure Love,Crystal Waters
1994,47,Anytime You Need a Friend,Mariah Carey
1994,48,Because of Love,Janet Jackson
1994,49,Linger,The Cranberries
1994,50,Loser,Beck
1994,51,Found Out About You,Gin Blossoms
1994,52,Gin and Juice,Snoop Doggy Dogg
1994,53,Never Lie,Immature
1994,54,Streets of Philadelphia,Bruce Springsteen
1994,55,Getto Jam,Domino
1994,56,Endless Love,Luther Vandross&Mariah Carey
1994,57,I Miss You,Aaron Hall
1994,58,Understanding,Xscape
1994,59,This D.J.,Warren G
1994,60,Cry for You,Jodeci
1994,61,Keep Ya Head Up,2Pac
1994,62,What's My Name?,Snoop Doggy Dogg
1994,63,Another Night,Real McCoy
1994,64,Your Body's Callin',R. Kelly
1994,65,Tootsee Roll,69 Boyz
1994,66,I Can See Clearly Now (from Cool Runnings),Jimmy Cliff
1994,67,Never Keeping Secrets,Babyface
1994,68,Crazy,Aerosmith
1994,69,Just Kickin' It,Xscape
1994,70,(At Your Best) You Are Love,Aaliyah
1994,71,Rock and Roll Dreams Come Through,Meat Loaf
1994,72,Amazing,Aerosmith
1994,73,Always,Erasure
1994,74,Groove Thang,Zhané
1994,75,Dreams,Gabrielle
1994,76,Mr. Vain,Culture Beat
1994,77,Mary Jane's Last Dance,Tom Petty and the Heartbreakers
1994,78,Anything,SWV
1994,79,Beautiful in My Eyes,Joshua Kadison
1994,80,Stay,Eternal
1994,81,Flava in Ya Ear,Craig Mack
1994,82,U.N.I.T.Y.,Queen Latifah
1994,83,Prayer for the Dying,Seal
1994,84,Secret,Madonna
1994,85,Here Comes the Hotstepper,Ini Kamoze
1994,86,Everyday,Phil Collins
1994,87,Don't Take the Girl,Tim McGraw
1994,88,Got Me Waiting,Heavy D & the Boyz
1994,89,"December, 1963 (Oh, What a Night)",The Four Seasons
1994,90,Indian Outlaw,Tim McGraw
1994,91,Always,Bon Jovi
1994,92,I'm the Only One,Melissa Etheridge
1994,93,Back in the Day,Ahmad
1994,94,Love Sneakin' Up On You,Bonnie Raitt
1994,95,I'll Take You There (from Threesome),General Public
1994,96,Always in My Heart,Tevin Campbell
1994,97,What Is Love,Haddaway
1994,98,And Our Feelings,Babyface
1994,99,Bop Gun (One Nation),Ice CubefeaturingGeorge Clinton
1994,100,I Wanna Be Down,Brandy
1995,1,Gangsta's Paradise,CooliofeaturingL.V.
1995,2,Waterfalls,TLC
1995,4,Kiss from a Rose,Seal
1995,5,On Bended Knee,Boyz II Men
1995,6,Another Night,Real McCoy
1995,7,Fantasy,Mariah Carey
1995,8,Take a Bow,Madonna
1995,9,Don't Take It Personal (Just One of Dem Days),Monica
1995,10,This Is How We Do It,Montell Jordan
1995,11,I Know,Dionne Farris
1995,12,Water Runs Dry,Boyz II Men
1995,13,Freak Like Me,Adina Howard
1995,14,Run-Around,Blues Traveler
1995,15,I Can Love You Like That,All-4-One
1995,16,Have You Ever Really Loved a Woman?,Bryan Adams
1995,17,Always,Bon Jovi
1995,18,"Boombastic"" / ""In the Summertime",Shaggy
1995,19,Total Eclipse of the Heart,Nicki French
1995,20,You Gotta Be,Des'ree
1995,21,You Are Not Alone,Michael Jackson
1995,22,Hold My Hand,Hootie & the Blowfish
1995,23,One More Chance/Stay with Me,The Notorious B.I.G.
1995,24,Here Comes the Hotstepper,Ini Kamoze
1995,25,Candy Rain,Soul for Real
1995,26,Let Her Cry,Hootie & the Blowfish
1995,27,I Believe,Blessid Union of Souls
1995,28,Red Light Special,TLC
1995,29,Runaway,Janet Jackson
1995,30,Strong Enough,Sheryl Crow
1995,31,Colors of the Wind,Vanessa Williams
1995,32,Someone to Love,Jon B.featuringBabyface
1995,33,Only Wanna Be with You,Hootie & the Blowfish
1995,34,If You Love Me,Brownstone
1995,35,In the House of Stone and Light,Martin Page
1995,36,I Got 5 on It,Luniz
1995,37,Baby,Brandy
1995,38,Run Away,Real McCoy
1995,39,As I Lay Me Down,Sophie B. Hawkins
1995,40,He's Mine,MoKenStef
1995,41,December,Collective Soul
1995,42,I'll Be There for You/You're All I Need to Get By,Method ManfeaturingMary J. Blige
1995,43,Shy Guy,Diana King
1995,44,I'm the Only One,Melissa Etheridge
1995,45,Every Little Thing I Do,Soul for Real
1995,46,Before I Let You Go,Blackstreet
1995,47,"Big Poppa"" / ""Warning",The Notorious B.I.G.
1995,48,Sukiyaki,4 P.M.
1995,49,I Wanna Be Down,Brandy
1995,50,I'll Make Love to You,Boyz II Men
1995,51,"Dear Mama"" / ""Old School",2Pac
1995,52,Hold On,Jamie Walters
1995,53,Keep Their Heads Ringin',Dr. Dre
1995,54,The Rhythm of the Night,Corona
1995,55,Roll to Me,Del Amitri
1995,56,"Scream"" / ""Childhood",Michael Jackson and Janet Jackson
1995,57,Freek'n You,Jodeci
1995,58,I Wish,Skee-Lo
1995,59,Believe,Elton John
1995,60,Carnival,Natalie Merchant
1995,61,You Don't Know How It Feels,Tom Petty
1995,62,Back for Good,Take That
1995,63,Tootsee Roll,69 Boyz
1995,64,"You Want This"" / ""70's Love Groove",Janet Jackson
1995,65,Tell Me,Groove Theory
1995,66,Can't You See,Totalfeaturing The Notorious B.I.G.
1995,67,All I Wanna Do,Sheryl Crow
1995,68,This Lil' Game We Play,Subwayfeaturing702
1995,69,Come and Get Your Love,Real McCoy
1995,70,This Ain't a Love Song,Bon Jovi
1995,71,Secret,Madonna
1995,72,Player's Anthem,Junior M.A.F.I.A.featuring The Notorious B.I.G.
1995,73,Feel Me Flow,Naughty by Nature
1995,74,Every Day of the Week,Jade
1995,75,The Sweetest Days,Vanessa Williams
1995,76,Short Dick Man,20 FingersfeaturingGillette
1995,77,Brokenhearted,Brandy
1995,78,No More I Love You's,Annie Lennox
1995,79,You Used to Love Me,Faith Evans
1995,80,Constantly,Immature
1995,81,"Hold Me, Thrill Me, Kiss Me, Kill Me",U2
1995,82,100% Pure Love,Crystal Waters
1995,83,Ask of You,Raphael Saadiq
1995,84,Sugar Hill,AZ
1995,85,Good,Better Than Ezra
1995,86,Brown Sugar,D'Angelo
1995,87,Turn the Beat Around,Gloria Estefan
1995,88,'Til You Do Me Right,After 7
1995,89,1st of tha Month,Bone Thugs-n-Harmony
1995,90,"Like the Way I Do"" / ""If I Wanted To",Melissa Etheridge
1995,91,I Live My Life for You,FireHouse
1995,92,"Dream About You"" / ""Funky Melody",Stevie B
1995,93,Cotton Eye Joe,Rednex
1995,94,Thank You,Boyz II Men
1995,95,I'll Stand by You,The Pretenders
1995,96,I Miss You,N II U
1995,97,Give It 2 You,Da Brat
1995,98,Best Friend,Brandy
1995,99,Misery,Soul Asylum
1995,100,Can't Stop Lovin' You,Van Halen
1996,1,Macarena(Bayside Boys Mix),Los del Río
1996,2,One Sweet Day,Mariah CareyandBoyz II Men
1996,3,Because You Loved Me,Celine Dion
1996,4,Nobody Knows,The Tony Rich Project
1996,5,Always Be My Baby,Mariah Carey
1996,6,Give Me One Reason,Tracy Chapman
1996,7,Tha Crossroads,Bone Thugs-n-Harmony
1996,8,I Love You Always Forever,Donna Lewis
1996,9,"You're Makin' Me High"" / ""Let It Flow",Toni Braxton
1996,10,Twisted,Keith Sweat
1996,11,C'mon N' Ride It (The Train),Quad City DJ's
1996,12,Missing,Everything but the Girl
1996,13,Ironic,Alanis Morissette
1996,14,Exhale (Shoop Shoop),Whitney Houston
1996,15,"Follow You Down"" / ""Til I Hear It from You",Gin Blossoms
1996,16,Sittin' Up in My Room,Brandy
1996,17,"How Do U Want It"" / ""California Love",2PacfeaturingK-Ci and JoJo/2PacfeaturingDr. DreandRoger Troutman
1996,18,It's All Coming Back to Me Now,Celine Dion
1996,19,Change the World,Eric Clapton
1996,20,Hey Lover,LL Cool Jfeaturing Boyz II Men
1996,21,Loungin,LL Cool J
1996,22,Insensitive,Jann Arden
1996,23,Be My Lover,La Bouche
1996,24,Name,Goo Goo Dolls
1996,25,Who Will Save Your Soul,Jewel
1996,26,Where Do You Go,No Mercy
1996,27,I Can't Sleep Baby (If I),R. Kelly
1996,28,Counting Blue Cars,Dishwalla
1996,29,"You Learn"" / ""You Oughta Know",Alanis Morissette
1996,30,One of Us,Joan Osborne
1996,31,Wonder,Natalie Merchant
1996,32,Not Gon' Cry,Mary J. Blige
1996,33,Gangsta's Paradise,CooliofeaturingL.V.
1996,34,Only You,112featuringThe Notorious B.I.G.
1996,35,Down Low (Nobody Has to Know),R. KellyfeaturingRonald Isley
1996,36,You're the One,SWV
1996,37,Sweet Dreams,La Bouche
1996,38,"Before You Walk Out of My Life"" / ""Like This and Like That",Monica
1996,39,Breakfast at Tiffany's,Deep Blue Something
1996,40,"1, 2, 3, 4 (Sumpin' New)",Coolio
1996,41,The World I Know,Collective Soul
1996,42,No Diggity,BlackstreetfeaturingDr. Dre
